"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.863944750E0,5.966895819E-1,-1.739320606E-1,1.746443659E-1
2.873923750E0,6.706882119E-1,-2.646004558E-1,4.393374920E-2
2.883933750E0,6.814990640E-1,-3.526910543E-1,-1.310516298E-1
2.893943750E0,6.708104610E-1,-4.083993137E-1,-3.278874755E-1
2.903953750E0,6.514402032E-1,-4.035812020E-1,-5.119735003E-1
2.913932750E0,6.260086298E-1,-3.485794663E-1,-6.561735272E-1
2.923942750E0,6.201622486E-1,-2.020505369E-1,-7.497316003E-1
2.933951750E0,6.338551641E-1,-5.201230571E-2,-7.926681638E-1
2.943931750E0,6.858519316E-1,1.233874112E-1,-7.522591352E-1
2.953940750E0,7.800806761E-1,3.830738366E-1,-6.770136356E-1
2.963950750E0,9.295178652E-1,6.397790909E-1,-6.713180542E-1
2.973929750E0,1.118368983E0,6.957734227E-1,-7.133113146E-1
2.983939750E0,1.321322918E0,6.044312716E-1,-7.144147158E-1
2.993949750E0,1.481840968E0,4.503673613E-1,-6.621502042E-1
3.003928750E0,1.538306832E0,3.440878987E-1,-5.801415443E-1
3.013938750E0,1.479547381E0,2.257332951E-1,-4.842546880E-1
3.023948750E0,1.339166403E0,6.394351274E-2,-4.023162425E-1
3.033927750E0,1.159457922E0,-2.335384302E-2,-3.317659199E-1
3.043937750E0,9.675401449E-1,-1.469552964E-1,-2.704221308E-1
3.053947750E0,7.949388623E-1,-2.471402138E-1,-2.571904957E-1
3.063926750E0,6.626006365E-1,-2.920466363E-1,-2.663121819E-1
3.073936750E0,6.045064330E-1,-4.059905112E-1,-3.414671421E-1
3.083945750E0,6.870536208E-1,-4.283250570E-1,-4.700564146E-1
3.093955750E0,8.279124498E-1,-3.714697659E-1,-5.655269623E-1
3.103934750E0,8.838058114E-1,-2.613804340E-1,-6.934675574E-1
3.113944750E0,8.317279220E-1,-1.134564802E-1,-7.680371404E-1
3.123954750E0,6.674191952E-1,6.420297083E-3,-8.237891793E-1
3.133933750E0,5.147271156E-1,1.587381959E-1,-8.634020686E-1
3.143943750E0,3.985276818E-1,3.102146387E-1,-8.573129773E-1
