,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
9803,49.809021,3.1052796839999997,-6.138733387,-8.104372977999999
9804,49.814026,4.695029736,-4.426878929,-4.9847278589999995
9805,49.819031,4.326322556,-4.410119534,-2.8993783
9806,49.824036,3.426102638,-5.336675644,-1.515529633
9807,49.829041,2.839523315,-6.416460514,-0.42616790530000004
9808,49.834045,2.317587137,-7.496245384,0.624886632
9809,49.840027,1.8890250919999998,-9.011775017,1.44849205
9810,49.845032,1.654393315,-10.52251625,1.81959331
9811,49.850037,1.019929886,-12.25352383,2.370259762
9812,49.856018,0.9504981041,-14.20240402,2.0925323959999997
9813,49.861023,1.41257906,-15.65568447,1.036689281
9814,49.866028,1.9560627940000002,-16.37155151,0.07661445438999999
9815,49.872009,2.4420857430000003,-16.7234993,-1.56101954
9816,49.878052,3.1818940639999997,-16.26860046,-3.371036053
9817,49.884033,4.228160381,-15.06192303,-4.563348293
9818,49.889038,4.898536682,-13.81933212,-4.951209068
9819,49.894043,5.398924827999999,-12.5647707,-5.042188643999999
9820,49.898926,5.497087002000001,-11.08036518,-5.116408825
9821,49.904053,5.2433018680000005,-10.29506683,-5.16189909
9822,49.908935,4.273650169,-8.906430244,-4.778826714
9823,49.914001,3.361459255,-8.532935143,-4.606443882
9824,49.920044,1.659181833,-8.317456245,-4.446032524
9825,49.925049,0.6416460276,-8.339004517000001,-4.072536945
9826,49.930053,-0.06224924326,-8.508993149,-3.766079187
9827,49.935058,-0.517147541,-8.813055992,-3.4452562330000003
9828,49.940002,-0.7685387731000001,-9.21528244,-3.1651346680000003
9829,49.945007,-0.9792284966,-9.670180321,-2.770091295
9830,49.950012,-1.106121182,-10.10592556,-2.327163935
9831,49.955017,-1.252167463,-10.7140522,-1.685518026
9832,49.961059,-1.106121182,-11.07078838,-1.063025594
9833,49.965942,-0.8906430602,-11.09951878,-0.8690952062999999
9834,49.972046,-0.6272808313,-10.76911926,-0.7781155705
9835,49.97705,-0.36152446270000005,-10.0556469,-0.1628057212
9836,49.983032,0.1101332754,-9.363722801,-0.1699883193
9837,49.988037,0.34476503729999997,-9.131484985,-0.7757213712000001
9838,49.993042,0.2849099934,-8.801085472,-1.539471745
9839,49.998046,0.38546648619999996,-8.444349289,-2.011129379
9840,50.003051,0.36152446270000005,-8.097189903,-2.370259762
9841,50.009033,0.9959878922,-7.493851185,-4.225766182
9842,50.013855,1.335964561,-7.0844426160000005,-5.228936672
9843,50.019043,1.261744261,-7.038952827,-4.965574265
9844,50.024047,1.034295082,-7.038952827,-4.096478939
9845,50.029052,0.7685387731000001,-6.974309444,-2.7509377
9846,50.033999,0.6224924326,-6.864176272999999,-1.546654344
9847,50.039004,0.5099649428999999,-6.773196697,-0.8619126081
9848,50.044008,0.5339069963,-6.636727333,-0.7158663273
9849,50.049013,0.5626373887,-6.5601124760000005,-0.806845963
9850,50.054018,0.5458779931000001,-6.663063526,-1.024718285
9851,50.059023,0.4189853072,-6.7372837070000005,-1.405396342
9852,50.064028,0.1915361285,-6.868964672000001,-1.6639702319999998
9853,50.069033,0.038307227189999994,-6.938396453999999,-1.81959331
9854,50.074038,-0.0143652102,-6.957550049,-2.11647439
9855,50.079042,-0.48123455049999997,-7.031770229,-2.1859061719999997
9856,50.084047,-0.6392518282,-6.998251438,-2.1763293740000003
9857,50.089052,-0.6320692300999999,-7.0269818310000005,-2.0183119769999998
9858,50.094057,-0.5458779931000001,-7.117961884,-1.726219416
9859,50.099001,-0.4932055473,-7.28316164,-1.6424223180000002
9860,50.105043,-0.4620809257,-7.489062786,-1.4796166419999999
9861,50.110048,-0.2513911724,-7.754819392999999,-1.4580688480000001
9862,50.114992,0.1843535304,-7.9319901470000005,-1.699883223
9863,50.120058,0.1388636976,-8.243236542,-2.0614075659999997
9864,50.125002,-0.1651999205,-8.528146743999999,-2.379836559
9865,50.130007,-0.3926490843,-8.681375504,-2.758120298
9866,50.135012,-0.5482721925,-8.762778282000001,-3.05021286
9867,50.140016,-0.5889736414,-8.791508675,-3.426102638
9868,50.145021,-0.6703764796,-8.767566681,-3.677493811
9869,50.150026,-0.5315127969,-8.508993149,-3.94085598
9870,50.155031,-0.39504328369999997,-8.240841866,-4.390965939
9871,50.160036,-0.2178723514,-8.025363922,-4.733336926000001
9872,50.165041,-0.1149216816,-7.92001915,-4.853046893999999
9873,50.169863,0.1053448766,-7.627926826,-5.094861031000001
9874,50.175051,0.1436520964,-7.5728597639999995,-5.15950489
9875,50.180055,0.038307227189999994,-7.55131197,-5.025429249
9876,50.184999,-0.03351882473,-7.501033783,-4.491522312
9877,50.191042,-0.1532289088,-7.273584842999999,-3.6966474060000003
9878,50.196047,-0.22266076510000002,-7.0269818310000005,-3.0765492919999997
9879,50.202028,-0.2896983922,-6.885724067999999,-2.885013103
