,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
14331,72.94397,-2.059013367,-15.86158657,-1.63523972
14332,72.948975,-2.0925323959999997,-15.11698914,-1.0534487959999999
14333,72.95398,-2.051830769,-14.42745972,-0.5650315881
14334,72.958985,-2.195482969,-13.64455509,-0.34476503729999997
14335,72.963989,-2.511517525,-12.82334423,-0.1651999205
14336,72.968994,-3.064578056,-11.83453941,0.3734954596
14337,72.974976,-3.6080620289999996,-11.12585545,0.8283938169
14338,72.979981,-4.165910721,-10.0604353,0.8020575643000001
14339,72.984986,-5.068524837,-9.634267807,-0.3926490843
14340,72.98999,-5.3725886339999995,-9.363722801,-0.4525041282
14341,72.994995,-4.948814869,-9.160215378,0.5626373887
14342,73.0,-4.4316673280000005,-8.461109161,0.215478152
14343,73.005982,-3.5506010060000004,-7.460332394,-2.178723574
14344,73.010986,-2.7533319,-7.256825447000001,-3.378218651
14345,73.015991,-1.836352706,-7.4507555960000005,-3.2800562380000002
14346,73.020996,-1.7357962130000002,-7.16824007,-3.361459255
14347,73.026001,-1.752555609,-6.646304131,-3.402160645
14348,73.031006,-1.355118155,-6.519411087000001,-3.114856482
14349,73.036011,-0.5793967843,-6.351817131000001,-3.186682463
14350,73.041016,0.1149216816,-6.373364925,-3.2297780510000003
14351,73.046021,0.1125274822,-6.373364925,-2.992752075
14352,73.050964,0.2896983922,-6.325480937999999,-2.432508945
14353,73.055969,0.624886632,-6.313509941,-1.939303398
14354,73.060974,0.8164227605,-6.39251852,-1.843535304
14355,73.065918,0.5985504389,-6.660669327000001,-1.8171991109999999
14356,73.070801,0.4525041282,-7.003039837,-1.654393315
14357,73.075989,0.5003881454,-7.017405032999999,-1.505952835
14358,73.080994,0.6607996821000001,-7.089231014,-1.074996591
14359,73.085998,0.825999558,-7.184999466,-0.5458779931000001
14360,73.091003,1.019929886,-7.1826052670000005,-0.1244984865
14361,73.096008,1.276109457,-7.074865817999999,0.2992752194
14362,73.101013,1.37666595,-7.038952827,0.806845963
14363,73.106018,1.505952835,-6.957550049,1.1420341729999999
14364,73.111023,1.67115283,-6.845022677999999,1.3479355569999998
14365,73.115967,1.836352706,-6.739677906,1.288080573
14366,73.120972,1.9033904080000001,-6.72531271,0.8810662031000001
14367,73.125976,1.8650830980000002,-6.698976517,0.2777273953
14368,73.130981,1.810016513,-6.600813866,-0.4453215301
14369,73.135925,1.6974890230000002,-6.50983429,-1.173158884
14370,73.140991,1.556231141,-6.442796707,-1.716642618
14371,73.145996,1.364694953,-6.366182327000001,-2.142810583
14372,73.151001,1.163581967,-6.1985883710000005,-2.576161146
14373,73.156006,0.9504981041,-6.086060524,-2.8826189039999996
14374,73.16101,0.6943184733,-6.038176537000001,-3.205836058
14375,73.166015,0.3687070608,-6.050147533,-3.4404678339999997
14376,73.17102,-0.04548983276000001,-6.0788779260000005,-3.514688015
14377,73.175964,-0.5315127969,-6.033388137999999,-3.687070608
14378,73.180969,-1.010353088,-5.8753709789999995,-3.82593441
14379,73.185974,-1.393425345,-5.803544998,-3.806780815
14380,73.190857,-2.331952572,-5.6335563660000005,-3.998316765
14381,73.195984,-2.885013103,-5.631162167,-3.998316765
14382,73.200988,-3.5601780410000003,-5.760449409,-4.05577755
14383,73.205993,-3.878606796,-6.002263546,-4.084507942
14384,73.210998,-3.926490784,-6.39491272,-3.988739967
14385,73.216003,-3.7469255919999997,-6.854599476000001,-3.904942989
14386,73.221008,-3.500322819,-7.32146883,-3.871424198
14387,73.226013,-3.227383852,-7.489062786,-3.876212597
14388,73.231018,-2.5067291259999998,-7.845798969,-4.0438065530000005
14389,73.236022,-1.812410712,-8.552088737,-4.393360138
14390,73.240966,-1.3431471590000001,-9.466673851,-4.541800499
14391,73.245971,-1.065419793,-10.37886429,-4.46039772
14392,73.250976,-1.158793569,-11.27668953,-4.273650169
14393,73.255981,-1.6496049169999998,-12.24873543,-4.101267338
14394,73.260986,-2.1715409759999997,-12.80897903,-4.110844135
14395,73.265991,-2.626439333,-13.10107136,-4.086902142
14396,73.270996,-2.841917515,-13.03164005,-3.981557369
14397,73.276,-2.6647465230000003,-12.53125191,-3.79480958
14398,73.281005,-2.6216509340000003,-11.86566353,-3.588908434
14399,73.28601,-2.770091295,-11.19049835,-3.483563423
14400,73.291015,-3.217807055,-10.38125896,-3.768473387
14401,73.296996,-4.0653543469999995,-9.696516991000001,-4.204218388
14402,73.302001,-4.8769888880000005,-9.174580574,-4.446032524
14403,73.307006,-5.456385612,-8.525752068,-4.668693542
14404,73.312011,-5.837063789,-8.010998726,-4.695029736
14405,73.317016,-5.87297678,-7.524975777000001,-4.977545261
14406,73.322021,-5.379771233,-7.194576262999999,-5.374982834
14407,73.326965,-4.5681366919999995,-6.957550049,-5.8610057829999995
14408,73.331908,-3.107673883,-7.036558628,-5.887341976
14409,73.336974,-2.138022184,-7.1466922760000005,-5.827486992000001
14410,73.341979,-1.537077546,-7.374141216,-5.786785602999999
14411,73.346984,-1.256955862,-7.778761387,-5.64313364
14412,73.351989,-1.1492167709999999,-8.506598473,-5.219359875
