,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
10936,109.43897460000001,0.35790573119999997,-9.505383453,3.15109726
10937,109.4489826,0.58737854,-9.545799407999999,3.2558793639999997
10938,109.4589896,0.7550299072,-9.420809326,3.46933548
10939,109.4689966,0.9122030640000001,-9.154513092,3.606001282
10940,109.47900459999998,1.04722229,-8.798852692,3.703149261
10941,109.4890116,1.288520508,-8.579259338,3.913162537
10942,109.4990186,1.892514496,-8.519683228,3.924688568
10943,109.50902659999998,2.228266296,-8.295299835,3.501219177
10944,109.51903359999999,2.351609802,-8.369246063,3.043920135
10945,109.5290406,2.500699768,-9.280550995,2.422861633
10946,109.5390476,2.306104431,-10.63598236,1.8869760130000002
10947,109.54905559999999,1.4564712519999998,-11.50163223,1.89086792
10948,109.55906259999999,0.1375639343,-11.36810989,2.042352905
10949,109.5690696,-0.913250885,-10.88701035,1.7109420780000002
10950,109.57907759999999,-1.34210907,-10.39318726,1.103056183
10951,109.58908459999999,-1.596579895,-9.913285217,0.6599775696
10952,109.5990916,-1.8306930540000002,-9.63336731,0.09879455565999999
10953,109.60909960000001,-2.04759201,-9.524094543,-0.33724868770000005
10954,109.61910659999998,-2.268532562,-9.508676605,-0.5704637146
10955,109.6291136,-2.144440613,-9.488768005,-0.5447172546
10956,109.6391216,-2.15881073,-9.655072173999999,-0.4923262024
10957,109.64912859999998,-2.268233185,-9.939181366,-0.32677047730000003
10958,109.65913559999998,-2.682421875,-10.52236862,0.07244934082
10959,109.6691436,-3.24465271,-11.511362,0.7385641479
10960,109.6791506,-3.162473602,-12.95286438,1.4581178280000002
10961,109.68915759999999,-2.38693634,-14.08630737,2.1246817019999997
10962,109.6991656,-1.4326707459999999,-14.45648758,2.329455872
10963,109.7091726,-0.06750961304,-14.3208696,2.234104156
10964,109.71917959999999,1.293759613,-13.88347916,2.159409485
10965,109.72918659999999,2.1433927919999998,-13.17185898,1.8582357790000001
10966,109.7391946,2.7892996219999997,-12.33075806,0.7032376099
10967,109.74920159999998,3.481460266,-11.39041351,-1.234183502
10968,109.7592086,4.089944916,-10.3991748,-3.91046814
10969,109.7692166,4.137096863,-9.173074493,-4.537364502
10970,109.77922360000001,3.769760742,-8.04906189,-2.924318848
10971,109.78923059999998,3.2139665219999998,-7.809260559,-1.6753161619999999
10972,109.7992386,2.295476532,-7.656727752999999,-1.008003845
10973,109.8092456,1.326242065,-7.41483078,-0.3251239014
10974,109.81925259999998,0.7147636414,-7.765551453,0.4260140991
10975,109.8292606,0.07005432129,-8.281678162,1.140927429
10976,109.8392676,-0.2562670898,-8.501421204,1.906734924
10977,109.8492746,-0.03727249146,-8.52058136,2.563718719
10978,109.85928259999999,0.26240432739999997,-8.514294434,3.480861511
10979,109.8692896,0.407303009,-8.530011749,4.731660461000001
10980,109.8792966,0.2113604736,-8.496631165,5.785019988999999
10981,109.88930459999999,0.1243913269,-8.507408752,6.180497589
10982,109.89931159999999,-0.08547225952,-8.675359497,6.034401397999999
10983,109.90931859999999,-0.4833448792,-8.376880188,5.45615387
10984,109.91932659999998,-0.6722520447,-7.995024261,4.800666962
10985,109.92933359999999,-0.7460485840000001,-7.883206787000001,4.174968109
10986,109.9393406,-0.5792953490999999,-8.139324188,3.285068665
10987,109.9493476,-0.18741027829999998,-8.512049102999999,2.046843567
10988,109.95935559999998,0.2731819153,-8.895850982999999,0.9252259827
10989,109.9693626,0.6447093200999999,-9.065448303,0.5360353088
10990,109.9793696,0.8716374206999999,-8.993448029,0.9620494079999999
10991,109.98937759999998,1.091380463,-8.759484557999999,1.584455109
10992,109.99938459999998,1.4148577880000002,-8.620872803,2.121987305
10993,110.0093916,1.710343323,-8.425229645,2.5036935419999997
10994,110.0193996,2.029180298,-8.229436798,2.8410919189999997
10995,110.02940659999999,2.345921631,-8.113577728,3.1263986210000003
10996,110.03941359999999,2.5099804690000003,-8.083639984,3.3409025569999997
10997,110.0494216,2.621648254,-8.107739868,3.53714447
10998,110.05942859999999,2.683918762,-8.152496796,3.6025584410000002
10999,110.06943559999999,2.719095612,-8.27479248,3.49972229
11000,110.0794436,2.745590515,-8.43286377,3.208128662
11001,110.0894506,2.7607090760000004,-8.55680603,2.845432892
11002,110.0994576,2.758314056,-8.637937317,2.701432343
11003,110.1094656,2.740950165,-8.656648407,2.88899231
11004,110.11947260000001,2.720592499,-8.54752533,3.499871979
