"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.090867125E0,-2.775391638E-1,2.227249384E0,-3.095907569E-1
2.100811125E0,-2.568240464E-1,2.290897846E0,-3.148704767E-1
2.110756125E0,-2.670830786E-1,2.311532736E0,-2.776481211E-1
2.120701125E0,-3.270723820E-1,2.311712503E0,-2.575862706E-1
2.130645125E0,-3.935585916E-1,2.252761841E0,-2.877299488E-1
2.140590125E0,-3.992529809E-1,2.030727386E0,-3.319482803E-1
2.150535125E0,-3.332971931E-1,1.686273932E0,-3.588601053E-1
2.160479125E0,-2.433454394E-1,1.336993337E0,-3.202442527E-1
2.170424125E0,-1.819157898E-1,1.051841140E0,-2.445067912E-1
2.180369125E0,-1.703267843E-1,8.774560094E-1,-2.011641115E-1
2.190313125E0,-1.726603508E-1,8.569713831E-1,-1.838435531E-1
2.200258125E0,-1.960253268E-1,8.858146667E-1,-1.901627034E-1
2.210203125E0,-2.276125252E-1,9.350611567E-1,-1.962011606E-1
2.220148125E0,-2.552183270E-1,1.019718289E0,-2.039280534E-1
2.230092125E0,-2.574585378E-1,1.087903142E0,-2.289332449E-1
2.240037125E0,-2.336847782E-1,1.142945409E0,-2.680130005E-1
2.249982125E0,-2.094461471E-1,1.216620326E0,-2.934010327E-1
2.259926125E0,-2.058082670E-1,1.300417304E0,-2.609775662E-1
2.269871125E0,-2.429729551E-1,1.305515051E0,-2.146392763E-1
2.279816125E0,-3.008002937E-1,1.231990218E0,-1.841633916E-1
2.289760125E0,-3.465169072E-1,1.136138082E0,-1.706648618E-1
2.299705125E0,-3.325840533E-1,1.103705883E0,-1.805553138E-1
2.309650125E0,-2.933681309E-1,1.138966918E0,-2.120283544E-1
2.319595125E0,-2.475854754E-1,1.262978315E0,-2.543140352E-1
2.329539125E0,-2.157274336E-1,1.399554253E0,-2.924841940E-1
2.339484125E0,-2.021642178E-1,1.386575818E0,-3.261353672E-1
2.349429125E0,-2.202664614E-1,1.329487562E0,-3.280458748E-1
2.359373125E0,-2.408207506E-1,1.282392502E0,-3.248303533E-1
2.369318125E0,-2.180102021E-1,1.216487408E0,-3.158488274E-1
2.379263125E0,-1.187105253E-1,1.165610552E0,-3.005047739E-1
2.389207125E0,-3.823776916E-2,1.113929033E0,-2.715598941E-1
2.399152125E0,-1.528222580E-3,1.105712891E0,-2.337046564E-1
2.409097125E0,-1.553523913E-2,1.238726020E0,-2.081331164E-1
2.419042125E0,-7.767610252E-2,1.417025089E0,-2.300943434E-1
2.428986125E0,-1.233918071E-1,1.581806183E0,-2.772370875E-1
2.438931125E0,-1.620079130E-1,1.572487831E0,-2.893041372E-1
2.448876125E0,-1.834683120E-1,1.315475583E0,-2.547365725E-1
2.458820125E0,-1.048051938E-1,9.168035984E-1,-2.095379382E-1
2.468765125E0,-1.041136682E-2,4.201652408E-1,-1.222273856E-1
2.478710125E0,3.424984589E-2,-1.196750700E-1,-3.960575163E-2
2.488654125E0,8.471538126E-2,-5.283438563E-1,3.078004718E-2
2.498599125E0,1.513404846E-1,-5.759451985E-1,7.369662076E-2
2.508544125E0,2.411044538E-1,-1.242828965E-1,8.894173801E-2
2.518489125E0,3.318588734E-1,7.068066001E-1,9.119397402E-2
2.528433125E0,3.808902502E-1,1.545309663E0,1.093242317E-1
2.538378125E0,4.071434438E-1,1.975965381E0,1.719649732E-1
2.548323125E0,4.645923674E-1,1.854599357E0,2.985451519E-1
2.558267125E0,5.181159973E-1,1.316425323E0,4.664417207E-1
2.568212125E0,5.012843609E-1,6.627807021E-1,5.488702059E-1
2.578157125E0,3.884230554E-1,2.152519524E-1,5.372902155E-1
2.588101125E0,1.918419600E-1,1.816578060E-1,4.848820567E-1
2.598046125E0,1.746242493E-2,4.720379710E-1,4.586368799E-1
2.607991125E0,-3.512554243E-2,6.919653416E-1,5.390906930E-1
2.617936125E0,1.938936487E-2,5.757175684E-1,7.095740438E-1
2.627880125E0,1.705389023E-1,2.120855004E-1,9.445877075E-1
2.637825125E0,3.546868861E-1,-2.969396412E-1,1.147952557E0
2.647770125E0,4.593927562E-1,-7.753158808E-1,1.302706361E0
2.657714125E0,4.905152619E-1,-1.183645368E0,1.392807722E0
2.667659125E0,4.434314072E-1,-1.577967048E0,1.430704594E0
2.677604125E0,4.113877118E-1,-1.854867578E0,1.497391701E0
2.687549125E0,4.395507276E-1,-1.880073071E0,1.599570513E0
2.697493125E0,4.877699018E-1,-1.708533525E0,1.633463264E0
2.707438125E0,4.835660756E-1,-1.342213392E0,1.567174554E0
2.717383125E0,4.283012152E-1,-8.238932490E-1,1.383104563E0
2.727327125E0,3.968641162E-1,-3.489855230E-1,1.237801909E0
2.737272125E0,3.707004189E-1,-1.097806618E-1,1.201272130E0
2.747217125E0,3.339216113E-1,-7.612052560E-2,1.194270611E0
2.757161125E0,2.990397811E-1,-8.016347140E-2,1.243809700E0
2.767106125E0,2.544411123E-1,-1.669363678E-1,1.349590659E0
2.777051125E0,2.064746469E-1,-2.969718575E-1,1.450458646E0
2.786996125E0,1.662125140E-1,-4.033182859E-1,1.564533234E0
2.796940125E0,1.341933310E-1,-3.790371716E-1,1.633618593E0
2.806885125E0,1.772918701E-1,-5.228000879E-1,1.634765267E0
2.816831083E0,2.283691615E-1,-7.243608832E-1,1.641594768E0
2.826775083E0,2.858326733E-1,-8.505413532E-1,1.637567759E0
2.836720083E0,3.461854756E-1,-8.499962091E-1,1.651084423E0
2.846665083E0,4.027237594E-1,-7.609109282E-1,1.613380671E0
2.856610083E0,4.860820174E-1,-6.861929893E-1,1.562849522E0
2.866554083E0,5.976268649E-1,-5.600326657E-1,1.568543077E0
2.876499083E0,7.045890093E-1,-4.783356786E-1,1.591102362E0
2.886444083E0,8.641510606E-1,-4.837944508E-1,1.585124493E0
2.896388083E0,1.116802454E0,-6.577569246E-1,1.707000256E0
2.906333083E0,1.367817998E0,-8.711150289E-1,1.783510089E0
2.916278083E0,1.620265126E0,-9.647848010E-1,1.738838792E0
2.926223083E0,1.890933871E0,-9.884288907E-1,1.664759040E0
2.936167083E0,1.971744537E0,-1.098573565E0,1.649750471E0
2.946112083E0,1.852500558E0,-9.768631458E-1,1.384875298E0
2.956057083E0,1.733843684E0,-2.720179260E-1,1.113570333E0
2.966001083E0,1.455676198E0,2.569394112E-1,8.039510846E-1
2.975946083E0,1.167995453E0,3.329529762E-1,6.518576741E-1
2.985891083E0,8.880898952E-1,5.812129378E-2,6.872337461E-1
2.995835083E0,6.292359233E-1,-3.115353286E-1,8.500096202E-1
3.005780083E0,4.093489945E-1,-6.091026068E-1,9.490727782E-1
3.015725083E0,1.464973986E-1,-6.664042473E-1,7.778914571E-1
3.025670083E0,-2.017683238E-1,-3.913095593E-1,5.183994770E-1
3.035614083E0,-4.695688784E-1,3.593526408E-2,3.639182746E-1
3.045559083E0,-4.768260717E-1,3.864036202E-1,2.162705511E-1
