"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.369611000E0,6.568341064E-1,-9.812245331E0,2.236050110E0
2.379529000E0,4.541555786E-1,-9.568851471E0,1.870809631E0
2.389448000E0,3.613485718E-1,-9.348958740E0,1.712438965E0
2.399366000E0,7.319778442E-2,-9.357790375E0,1.728006592E0
2.409284000E0,-2.028282166E-1,-9.709558868E0,1.694027252E0
2.419202000E0,-3.998185730E-1,-9.614207153E0,1.685944061E0
2.429120000E0,-4.456233215E-1,-8.937614136E0,1.597478027E0
2.439039000E0,-6.975494385E-1,-8.238867188E0,1.332828369E0
2.448957000E0,-9.972262573E-1,-7.838000793E0,8.219407654E-1
2.458844000E0,-1.286873932E0,-7.967780914E0,1.675016785E-1
2.468763000E0,-1.455722809E0,-8.417595520E0,-4.037104797E-1
2.478681000E0,-1.740730133E0,-9.108858032E0,-9.701325989E-1
2.488599000E0,-2.037712555E0,-9.686656494E0,-1.370998993E0
2.498517000E0,-2.264640656E0,-9.812544708E0,-1.500030670E0
2.508436000E0,-1.533261566E0,-1.034244278E1,-1.318458252E0
2.518354000E0,-9.782157898E-1,-1.163440613E1,-1.438957672E0
2.528272000E0,-9.970765686E-1,-1.478355743E1,-1.392105103E0
2.538190000E0,-7.485932922E-1,-1.758677811E1,-1.102307739E0
2.548108000E0,5.099894714E-1,-1.836725510E1,-1.480271759E0
2.558027000E0,1.807640991E0,-1.656949356E1,-2.622995453E0
2.567945000E0,2.538271637E0,-1.420935150E1,-4.118685150E0
2.577833000E0,2.773582306E0,-1.232791397E1,-5.046156464E0
2.587751000E0,2.756068726E0,-1.063867676E1,-4.364923096E0
2.597669000E0,3.482208710E0,-9.929152222E0,-3.390000458E0
2.607587000E0,3.737278290E0,-9.439221039E0,-2.021396484E0
2.617472250E0,4.110601959E0,-8.901090088E0,-5.093907166E-1
2.627391250E0,4.311633911E0,-8.627608795E0,5.313949585E-1
2.637309250E0,3.814218292E0,-8.229287109E0,1.185235291E0
2.647227250E0,3.070714417E0,-7.680079193E0,1.723366241E0
2.657115250E0,2.224224701E0,-6.896907806E0,1.963916016E0
2.667033250E0,2.027384033E0,-7.315886536E0,1.704355774E0
2.676951250E0,1.270258484E0,-7.905061340E0,1.567540283E0
2.686869250E0,3.942800903E-1,-8.247549133E0,1.279838562E0
2.696788250E0,-2.920426941E-1,-8.616232452E0,1.064735870E0
2.706706250E0,-6.991960144E-1,-8.976233826E0,9.354048157E-1
2.716624250E0,-1.011746063E0,-8.870104523E0,9.400451660E-1
2.726512250E0,-1.269060974E0,-8.820557556E0,8.560697937E-1
2.736430250E0,-1.678459625E0,-8.824748840E0,8.283773804E-1
2.746348250E0,-1.799408112E0,-9.015452271E0,6.545887756E-1
2.756266250E0,-1.604962463E0,-8.913963318E0,5.659730530E-1
2.766185250E0,-9.557624817E-1,-8.713530121E0,6.325845337E-1
2.776103250E0,-1.299298096E-1,-8.625513153E0,7.038363647E-1
2.786021250E0,4.082011414E-1,-8.797355804E0,7.220983887E-1
2.795939250E0,8.357121277E-1,-8.885821838E0,8.662486267E-1
2.805857250E0,1.206940155E0,-8.781189423E0,9.445358276E-1
2.815776250E0,1.848206635E0,-8.606053619E0,9.183403015E-1
2.825663250E0,2.513123932E0,-7.965535583E0,8.454418945E-1
2.835582250E0,3.189866638E0,-7.648045807E0,9.186396790E-1
2.845500250E0,4.001329193E0,-8.129744110E0,1.254690857E0
2.855418250E0,4.577930145E0,-8.786727905E0,1.718127136E0
2.865336250E0,5.129533081E0,-9.272018738E0,2.259251862E0
2.875254250E0,5.335953827E0,-9.907297668E0,3.365750885E0
2.885173250E0,5.011877747E0,-1.033465897E1,4.325405273E0
2.895091250E0,4.202061768E0,-1.099987564E1,4.700076141E0
2.905009250E0,3.466341705E0,-1.100197128E1,4.335434418E0
2.914927250E0,2.636317749E0,-1.050769913E1,4.238585815E0
2.924815250E0,1.936373291E0,-1.009395950E1,4.669689331E0
2.934733250E0,1.615740051E0,-9.977351990E0,4.425247650E0
2.944651250E0,1.661993866E0,-1.006746460E1,4.178860016E0
2.954570250E0,2.030826874E0,-1.096709381E1,3.101550293E0
2.964488250E0,2.380350037E0,-1.284613632E1,1.697320404E0
2.974406250E0,2.251617737E0,-1.506946289E1,1.018482056E0
2.984324250E0,2.178270264E0,-1.658176804E1,5.987548828E-4
2.994242250E0,8.387059021E-1,-1.678998505E1,-1.566043396E0
3.004161250E0,-7.946974182E-1,-1.685300400E1,-3.009342041E0
3.014079250E0,-1.949246521E0,-1.672307419E1,-2.891986084E0
3.023967250E0,-2.599644012E0,-1.317350555E1,-2.206711121E0
3.033885250E0,-1.851200409E0,-7.591313782E0,-1.883233795E0
3.043803250E0,-4.697232056E-1,-5.233267365E0,-1.126856689E0
3.053721250E0,6.707551575E-1,-4.847818909E0,5.644761658E-1
3.063639250E0,1.236279144E0,-5.435646515E0,1.161434784E0
3.073558250E0,2.314936066E0,-6.671326904E0,1.493594055E0
3.083476250E0,3.300187225E0,-7.459288330E0,1.435514832E0
3.093394250E0,3.224893799E0,-8.159681854E0,1.255738678E0
3.103312250E0,1.549877014E0,-8.667725372E0,-1.667532349E-1
3.113200250E0,6.616241455E-2,-9.639055481E0,-1.900897064E0
3.123118250E0,-1.138981476E0,-1.098340988E1,-2.584226074E0
3.133036250E0,-1.611099701E0,-1.289104294E1,-2.437980194E0
3.142955250E0,-2.303859100E0,-1.414438660E1,-2.204465790E0
3.152873250E0,-4.071682892E0,-1.364292938E1,-1.863474884E0
3.162791250E0,-4.861590271E0,-1.185893921E1,-1.095871124E0
3.172709250E0,-3.117566986E0,-9.744586029E0,-3.608995056E-1
