,Time (s),X (rad/s),Y (rad/s),Z (rad/s)
2497,25.004931,-0.3603894114,0.6536194086,0.8253067731999999
2498,25.014938,-0.39759138229999996,0.7377696632999999,0.8768556714
2499,25.024945,-0.4585399926,0.8089116216,0.934330523
2500,25.034952,-0.5715597272,0.8793064356,0.9866379499
2501,25.044959,-0.6997299790000001,0.9673279523999999,1.030359507
2502,25.054966,-0.8139860034,0.9925731420999999,1.080224872
2503,25.064973,-0.9202659726000001,0.9286568165000001,1.1120887990000001
2504,25.07498,-1.0173232559999998,0.9423129559000001,1.093014717
2505,25.084987,-1.086834908,1.010241032,1.018271089
2506,25.094994,-1.1199071409999999,0.9927887917,0.9058198929000001
2507,25.105001,-1.0823401209999999,0.9782178998000001,0.7888804674
2508,25.115008,-1.015965343,0.9403677583,0.6279073358
2509,25.125015,-0.898567915,0.9179262519,0.48259410259999996
2510,25.135022,-0.6989474893000001,0.9188780784999999,0.35224941369999996
2511,25.145029,-0.4422421753,0.9073851109000001,0.2365221679
2512,25.155036,-0.2365502864,0.938064158,0.1241258606
2513,25.165043,-0.1039076298,0.9502877593000001,0.02008503862
2514,25.17505,0.004834294785,0.8889751434000001,-0.0336535573
2515,25.185057,0.1044801399,0.7597844005,-0.04154906422
2516,25.195064,0.1625517011,0.5638161897999999,-0.02175778337
2517,25.205071,0.1837521195,0.366325289,0.01538483892
2518,25.215078,0.19419837,0.250482589,0.03320058435
2519,25.225085,0.22903066870000002,0.21110165120000002,0.013255767520000001
2520,25.235092,0.2697453499,0.1941522211,-0.06975416093999999
2521,25.245099,0.3359791636,0.159421429,-0.2146547884
2522,25.255106,0.45794370770000004,0.09811650962000001,-0.34142819049999995
2523,25.265113,0.6678066254,0.09492563456,-0.46267428990000004
2524,25.27512,0.9212423563,0.08210944383999999,-0.5709802508
2525,25.285127,1.115816355,0.0394500941,-0.6536467075
2526,25.295134,1.176193357,-0.11109147220000001,-0.7300999165000001
2527,25.305141,1.119616151,-0.3998667896,-0.9853110313
2528,25.315148,1.064838409,-0.7363274097,-1.392370462
2529,25.325155,1.080441594,-1.13604176,-1.908985496
2530,25.335162,1.140143037,-1.468911052,-2.436872959
2531,25.345169,1.2258738279999999,-1.497860074,-2.865050793
2532,25.355176,1.228944778,-1.10157454,-2.979207993
2533,25.365183,1.146747947,-0.1845910549,-2.6922290330000003
2534,25.37519,1.325296402,0.9133631587000001,-1.8242822890000001
2535,25.385197,1.614663601,1.041247249,-0.9514047503
2536,25.395204,1.6258249280000001,0.22098775210000002,-0.6056529284000001
2537,25.405211,1.525219083,-0.266607672,-0.2961733341
2538,25.415218,1.4856868980000002,-0.3105368018,0.08165707438999999
2539,25.425225,1.548842192,-0.5298731923,0.3716845512
2540,25.435232,1.746498585,-1.1433783770000001,0.5906952024000001
2541,25.445239,2.058485508,-2.092145443,0.6809222102
2542,25.455246,2.482637644,-3.08325839,0.6824239492
2543,25.465253,2.763595343,-3.721616507,0.5429785847999999
2544,25.47526,2.582511902,-3.545737982,0.3284337819
2545,25.485267,1.9227367640000002,-2.123495817,0.01500592846
2546,25.495274,1.279906631,-0.4787375331,-0.2879616618
2547,25.505281,0.8274797797,-0.1018822566,-0.4909505844
2548,25.515288,0.18967668710000002,-0.4911040664,-0.670337677
2549,25.525295,-0.5438116193,-0.7987346053000001,-0.8031405806999999
2550,25.535302,-1.130465746,-0.9480354190000001,-0.9099565148000001
2551,25.545309,-1.425936699,-0.878911674,-1.039204955
2552,25.555316,-1.40405643,-0.6298011540999999,-1.055697918
2553,25.565323,-1.11801064,-0.3118490577,-0.9235215187000001
2554,25.57533,-0.7215735315999999,-0.1484947503,-0.7464258670999999
2555,25.585337,-0.2997317314,-0.2274621725,-0.5703573227000001
2556,25.595344,0.1771165729,-0.1743835211,-0.3418386579
2557,25.605351,0.6416325569,-0.005849517881999999,-0.1620955616
2558,25.615358,0.9984980226000001,0.1535537243,-0.040386430919999994
2559,25.625365,1.145635366,0.2816948593,0.04734122008
2560,25.635372,0.9889959693000001,0.4104656279,0.20087218280000002
2561,25.645379,0.7041247487000001,-0.02256249264,0.3331445754
2562,25.655386,0.35888400670000004,-0.4020981193,0.4655766487
2563,25.665393,0.1211281642,-0.4953633547,0.5601317883
2564,25.6754,-0.01816394553,-0.5002966523,0.6177175641
2565,25.685407,-0.1375653893,-0.4544148743,0.6912422776
2566,25.695414,-0.2390965372,-0.40237990020000003,0.7709333897
2567,25.705421,-0.3484224379,-0.3785420954,0.8729529381000001
2568,25.715428,-0.4452664256,-0.39853870869999997,0.9645542502
2569,25.725435,-0.5190460085999999,-0.45460653310000004,1.035531163
2570,25.735442,-0.5844894648,-0.5178086758,1.080025911
2571,25.745449,-0.6330650449,-0.639563024,1.095773101
2572,25.755456,-0.697424829,-0.7305014133,1.0373457670000001
