"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.765258125E0,2.697241058E0,1.300495605E0,4.931644592E0
1.775237125E0,2.988535309E0,1.195863190E0,4.555626526E0
1.785186125E0,3.059038696E0,1.073866882E0,4.331841888E0
1.795165125E0,3.275338898E0,4.668791199E-1,4.464765472E0
1.805144125E0,3.385659485E0,-3.038681030E-2,4.925956421E0
1.815123125E0,2.998863831E0,-3.761677551E-1,5.072202301E0
1.825072125E0,2.006277924E0,-1.075962524E0,4.462969208E0
1.835051125E0,9.671388245E-1,-1.698218536E0,3.485950928E0
1.845031125E0,6.557862854E-1,-2.177222443E0,2.055375824E0
1.855010125E0,7.438032532E-1,-2.635868683E0,7.161108398E-1
1.864959125E0,1.477277985E0,-2.461331635E0,-1.465602264E0
1.874938125E0,2.490820312E0,-2.786305847E0,-2.585722961E0
1.884917125E0,3.610941010E0,-3.439996490E0,-1.603016510E0
1.894896125E0,5.000651093E0,-4.148922272E0,3.769161987E-1
1.904845125E0,4.917723541E0,-4.959337006E0,2.312391357E0
1.914824125E0,4.299509125E0,-5.684429169E0,2.992427216E0
1.924803125E0,3.471730499E0,-6.147416382E0,3.813170471E0
1.934783125E0,2.357297974E0,-7.081623688E0,4.687502289E0
1.944731125E0,1.823507996E0,-8.123606873E0,5.569767609E0
1.954711125E0,2.590513000E0,-8.825796661E0,6.236930237E0
1.964690125E0,3.548520813E0,-9.185648346E0,6.432723083E0
1.974669125E0,4.964725800E0,-9.917177124E0,7.113657074E0
1.984618125E0,6.807543640E0,-1.023930725E1,7.840545502E0
1.994597125E0,8.121211853E0,-1.079270645E1,8.314010925E0
2.004576125E0,9.138646088E0,-1.092967163E1,8.913514252E0
2.014556125E0,1.004590942E1,-1.084539688E1,9.070537720E0
2.024504125E0,1.083581680E1,-1.079659836E1,9.216484222E0
2.034484125E0,1.151001480E1,-1.097861984E1,9.457333374E0
2.044463125E0,1.215143097E1,-1.087743027E1,9.810598755E0
2.054442125E0,1.318622910E1,-1.063688049E1,1.097173416E1
2.064391125E0,1.433793411E1,-1.053943314E1,1.189246948E1
2.074370125E0,1.463431778E1,-1.004965164E1,1.123339005E1
2.084349125E0,1.436353088E1,-9.367819519E0,9.652377777E0
2.094329125E0,1.368484222E1,-8.508306885E0,8.218210144E0
2.104277125E0,1.309836182E1,-7.858208771E0,6.982230377E0
2.114257125E0,1.283910095E1,-6.896758118E0,5.832770691E0
2.124236125E0,1.270722519E1,-5.786067810E0,4.965324554E0
2.134215125E0,1.214005463E1,-5.622308350E0,4.715194702E0
2.144164125E0,1.165536255E1,-6.511309662E0,5.473068695E0
2.154143125E0,1.181463135E1,-7.307054901E0,6.278244324E0
2.164122125E0,1.184636536E1,-7.037465515E0,6.549031219E0
2.174071125E0,1.171254364E1,-6.698420563E0,6.148015137E0
2.184050125E0,1.321706497E1,-6.590644684E0,2.554737396E0
2.194030125E0,1.322963882E1,-5.685027924E0,8.421487427E-1
2.204009125E0,1.319341415E1,-4.339326324E0,-9.422904968E-1
2.213958125E0,1.249227219E1,-3.089425507E0,1.586700439E-1
2.223937125E0,1.331466202E1,-2.499801636E-1,-2.408641205E0
2.233916125E0,1.222313187E1,6.776408386E-1,-2.241738281E0
2.243895125E0,9.095835114E0,-3.685336304E0,-9.464817810E-1
2.253844125E0,6.931934967E0,-5.213059387E0,-1.313518524E0
2.263823125E0,6.806196442E0,-6.309678955E0,1.657054138E-1
